,index,name,cre_id,Lng,Lat,place_id,gas_price,gas type,Rating,User Ratings,Google_Name,Address,Types
0,0,"ESTACION DE SERVICIO CALAFIA, S.A. DE C.V.",PL/658/EXP/ES/2015,-116.9214,32.476409999999994,2039,17.39,regular,4.3,3,Gasolinera Pemex,"Av de los Insurgentes No. 1910, Libramiento, Tijuana","gas_station, point_of_interest, establishment"
1,3,"DIGEPE, S.A. DE C.V. (07356)",PL/902/EXP/ES/2015,-99.74484,20.3037,2040,18.65,regular,3.9,13,Pemex,"Carrt. Pachuca-Queretaro Km 58+500, Huichapan","gas_station, point_of_interest, establishment"
2,6,"DIAZ GAS, S.A. DE C.V.",PL/760/EXP/ES/2015,-106.4514,31.71947,2041,12.82,regular,4.3,261,TotalGas,"Av. López Mateos 1604, La Plata, Cd Juárez","gas_station, point_of_interest, establishment"
3,8,"COMBU-EXPRESS, S.A. DE C.V.",PL/825/EXP/ES/2015,-103.3042,20.714129999999997,2042,18.64,regular,4,105,Gasolinera Pemex,"Perif. Nte. Ricardo Flores Magón Ote. No. 950, Huentitán El Alto, Guadalajara","gas_station, point_of_interest, establishment"
4,11,"PETROMAX, S.A. DE C.V.",PL/585/EXP/ES/2015,-98.29977,26.03787,2043,14.79,regular,4,10,Petromax,"Río Purificación 800, Luis Donaldo Colosio Murrieta, Reynosa","gas_station, point_of_interest, establishment"
5,13,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/842/EXP/ES/2015,-117.0715,32.51342,2044,17.19,regular,4.2,46,CHEVRON,"CALLE MANUEL GUTIERREZ NAJERA 3102, El Cortez, Tijuana","gas_station, point_of_interest, establishment"
6,15,MULTISERVICIOS LA PILARICA SA DE CV,PL/371/EXP/ES/2015,-108.9685,25.7558,2045,19.99,diesel,3.9,70,Pemex,Libramiento Ote. y,"gas_station, point_of_interest, establishment"
7,18,"PETROMAX, S.A. DE C.V.",PL/439/EXP/ES/2015,-100.2918,25.77202,2046,19.29,regular,0,0,Parada transporte NGK,"Calle 15 590, Joyas de Anahuac, Cd Gral Escobedo","gas_station, point_of_interest, establishment"
8,21,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/860/EXP/ES/2015,-116.6079,31.86546,2047,17.65,diesel,0,0,Gasolinera Pemex,"Av Rayon 876, Secc Primera, Obrera, Ensenada","gas_station, point_of_interest, establishment"
9,24,"ESTACION PIRU, S.A. DE C.V.",PL/897/EXP/ES/2015,-117.0457,32.312020000000004,2048,17.39,regular,4.1,61,Pemex,"Carrt. Libre Tijuana a Ensenada # 3109, Rosarito","gas_station, point_of_interest, establishment"
10,26,"PETROMAX, S.A. DE C.V.",PL/561/EXP/ES/2015,-100.184,25.655620000000003,2049,17.99,regular,4.2,39,Petro 7,"Avenida Pablo Livas SN-S, Santa María Sector C, Guadalupe","gas_station, point_of_interest, establishment"
