,index,name,cre_id,Lng,Lat,place_id,gas_price,gas type,Rating,User Ratings,Google_Name,Address,Types
7475,19772,PATRICIA MATA VARGAS,PL/8646/EXP/ES/2015,-99.476,19.1816,9661,18.23,regular,3.7,34,"Pemex gas station, Santiago","Galeana S/N, Santiago Tianguistenco","gas_station, point_of_interest, establishment"
7476,19774,"PISA COMBUSTIBLES, S.A. DE C.V.",PL/8555/EXP/ES/2015,-98.11314,19.46432,9662,17.85,regular,3.8,205,Gasolinera Pemex,"Blvd Ignacio Zaragoza Esq Carretera Apizaco Tlaxcala #31, 5 Seccion Agricola Dolores, Tetla De La Solidaridad","gas_station, point_of_interest, establishment"
7477,19777,"FARMING MULTISERVICIOS, S.A. DE C.V.",PL/8746/EXP/ES/2015,-106.4212,23.24495,9663,18.38,regular,0,0,"Gaspasa Gasolinas, Estación El Mar","Carretera Internacional #3024 Fracc, Isla Residencial, Mazatlán","gas_station, point_of_interest, establishment"
7478,19780,SERVICIO  JUQUILA S.A DE C.V,PL/8502/EXP/ES/2015,-98.31597,19.0389,9664,18.53,regular,2.4,27,Gasolinera San Rafael Comac,"Tonantzintla, M. Hidalgo, San Rafael Comac, San Andrés Cholula","gas_station, point_of_interest, establishment"
7479,19783,Gasolinera Faza SA de CV,PL/8165/EXP/ES/2015,-103.3698,25.6414,9665,18.84,regular,0,0,Pemex,La Concha,"gas_station, point_of_interest, establishment"
7480,19785,combustibles del lago sa de cv,PL/8630/EXP/ES/2015,-103.2897,20.29739,9666,19.19,regular,4,30,Gasolinera Pemex,"Hidalgo Num. 537, Ajijic","gas_station, point_of_interest, establishment"
7481,19787,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",PL/8440/EXP/ES/2015,-100.3087,25.71432,9667,19.3,regular,4.2,128,PEMEX,"Francisco G. Bocanegra esquina con Guerrero s/n, Sin Nombre de Col 20, Monterrey","gas_station, point_of_interest, establishment"
7482,19789,"HIDROSINA PLUS, S.A.P.I. DE C.V.",PL/8253/EXP/ES/2015,-101.198,20.56279,9668,17.99,regular,0,0,Gasolinera Pemex,"Avenida Obregon Sur Cruz C/Domingo, Fernando Lizarde No. 704, El Eden, Salamanca","gas_station, point_of_interest, establishment"
7483,19791,"OGSA, S.A. DE C.V.",PL/8569/EXP/ES/2015,-94.58789,18.00959,9669,18.26,regular,3.9,79,Gasolinera PEMEX,"México 180D, Minatitlán","gas_station, point_of_interest, establishment"
7484,19794,EZEQUIEL GUTIERREZ MARTIN,PL/8505/EXP/ES/2015,-102.6738,20.9428,9670,19.8,premium,3.9,81,Pemex,"Km.100 Carr, Guadalajara - Lagos de Moreno","gas_station, point_of_interest, establishment"
