name,cre_id,location/x,location/y,_place_id
"ESTACION DE SERVICIO CALAFIA, S.A. DE C.V.",PL/658/EXP/ES/2015,-116.9214,32.47641,2039
"DIGEPE, S.A. DE C.V. (07356)",PL/902/EXP/ES/2015,-99.74484,20.3037,2040
"DIAZ GAS, S.A. DE C.V.",PL/760/EXP/ES/2015,-106.4514,31.71947,2041
"COMBU-EXPRESS, S.A. DE C.V.",PL/825/EXP/ES/2015,-103.3042,20.71413,2042
"PETROMAX, S.A. DE C.V.",PL/585/EXP/ES/2015,-98.29977,26.03787,2043
"ESTACION RAEL, S. DE R.L. DE C.V.",PL/842/EXP/ES/2015,-117.0715,32.51342,2044
MULTISERVICIOS LA PILARICA SA DE CV,PL/371/EXP/ES/2015,-108.9685,25.7558,2045
"PETROMAX, S.A. DE C.V.",PL/439/EXP/ES/2015,-100.2918,25.77202,2046
"ESTACION RAEL, S. DE R.L. DE C.V.",PL/860/EXP/ES/2015,-116.6079,31.86546,2047
"ESTACION PIRU, S.A. DE C.V.",PL/897/EXP/ES/2015,-117.0457,32.31202,2048
"PETROMAX, S.A. DE C.V.",PL/561/EXP/ES/2015,-100.184,25.65562,2049
AUTOSERVICIO BERLANGA S.A. DE C.V.,PL/797/EXP/ES/2015,-101.4189,26.92554,2050
"PETROMAX, S.A. DE C.V.",PL/583/EXP/ES/2015,-97.44485,25.83842,2051
"GRUPO OCTANO, S.A. DE C.V.",PL/366/EXP/ES/2015,-105.1947,21.4739,2052
"CIRCULO DOS, S.A. DE C.V.",PL/635/EXP/ES/2015,-117.0271,32.5279,2053
"Servicio Sevilla, S.A. de C.V.",PL/868/EXP/ES/2015,-99.1973,19.58616,2054
"PETROMAX, S.A. DE C.V.",PL/558/EXP/ES/2015,-100.2365,25.6788,2055
"GASOLINERA HUITEPEC, S.A. DE C.V.",PL/887/EXP/ES/2015,-92.65437,16.73187,2056
"PETROMAX, S.A. DE C.V.",PL/454/EXP/ES/2015,-98.20425,26.0139,2057
"ENERGIA Y SERVICIOS COORDINADOS, S.A. DE C.V.",PL/890/EXP/ES/2015,-104.6217,24.02956,2058
SERVICIO SIERRA DE ARTEAGA SA DE CV,PL/756/EXP/ES/2015,-100.9057,25.57358,2059
COMBUSTIBLES Y LUBRICANTES ATENAS SA DE CV,PL/795/EXP/ES/2015,-106.1008,28.73367,2060
"GRUPO OCTANO, S.A. DE C.V.",PL/505/EXP/ES/2015,-103.9754,19.77838,2061
Becktrop Operadora SA de CV,PL/708/EXP/ES/2015,-117.0249,32.45102,2062
YLIGARZA S.A. DE C.V.,PL/562/EXP/ES/2015,-100.2726,25.73174,2063
"ESTACION LA VICTORIA, S.A. DE C.V.",PL/636/EXP/ES/2015,-117.0466,32.53171,2064
"PETROMAX, S.A. DE C.V.",PL/516/EXP/ES/2015,-100.4652,25.68592,2065
"ESTACION LA VICTORIA, S.A. DE C.V.",PL/638/EXP/ES/2015,-117.0226,32.51045,2066
"PETROMAX, S.A. DE C.V.",PL/538/EXP/ES/2015,-100.1466,25.66026,2067
"PETROMAX, S.A. DE C.V.",PL/619/EXP/ES/2015,-100.9274,25.44151,2068
"PETROMAX, S.A. DE C.V.",PL/443/EXP/ES/2015,-98.32712,26.06297,2069
RAMCAL SA DE CV,PL/689/EXP/ES/2015,-104.2109,19.03549,2070
"Gasomac, S.A. de C.V.",PL/650/EXP/ES/2015,-99.13844,19.3231,2071
"Autoconsumo los Pinos, S.A. de C.V.",PL/866/EXP/ES/2015,-99.16505,19.30205,2072
"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/380/EXP/ES/2015,-109.0001,25.77298,2073
servicios energeticos plaza industrial sa de cv,PL/764/EXP/ES/2015,-101.1169,25.2563,2074
"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",PL/851/EXP/ES/2015,-102.2834,22.12339,2075
OLEUM GAS S.A. DE C.V.,PL/754/EXP/ES/2015,-93.09296,16.73384,2076
"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",PL/397/EXP/ES/2015,-109.2961,25.96616,2077
"Gasolinería Cid, S.A. de C.V.",PL/823/EXP/ES/2015,-99.36308,19.64046,2078
