places,place,place_id,gas_price,type
,,11703,18.69,regular
,,,19.69,premium
,,11702,18.19,regular
,,,19.79,premium
,,,18.25,diesel
,,11701,15.09,regular
,,,19.99,diesel
,,11700,18.24,regular
,,,18.56,premium
,,,19.37,diesel
,,11699,18.87,premium
,,11699,18.55,regular
,,11698,19.1,regular
,,11698,19,diesel
,,11697,17.69,regular
,,,17.69,premium
,,,17.99,diesel
,,11696,16.59,regular
,,,17.29,premium
,,11696,19.1,diesel
,,11695,18.19,regular
,,,18.19,premium
,,,18.79,diesel
,,11694,17.69,regular
,,,17.69,premium
,,,18.09,diesel
,,3153,16.99,regular
,,,18.19,premium
,,3153,17.65,diesel
,,11693,17.4,regular
,,,17.75,premium
,,,17.9,diesel
,,11692,18.05,diesel
,,11692,18,premium
,,11692,17.3,regular
,,11691,17.99,regular
,,,18.49,premium
,,,17.99,diesel
,,11690,17.39,regular
,,,17.39,premium
,,,17.89,diesel
,,11395,18.49,regular
,,,18.99,premium
,,,18.59,diesel
,,11394,17.99,regular
,,,18.49,premium
,,,18.5,diesel
,,11393,17.99,regular
,,,17.89,premium
,,,18.38,diesel
,,11392,18.69,regular
,,,18.99,premium
,,11392,19.39,diesel
,,11391,18.3,diesel
,,11391,16.55,regular
,,11391,18.39,premium
,,11390,18.4,regular
,,,18.9,premium
,,,18.8,diesel
,,2802,18.99,premium
,,2802,17.99,regular
,,2802,17.99,diesel
,,11389,13.25,regular
,,,14.6,premium
,,11388,18.59,regular
,,,18.69,premium
,,,18.79,diesel
,,11387,18.55,regular
,,,19.43,premium
,,,18.66,diesel
,,11386,17.49,regular
,,,17.89,premium
,,,18.4,diesel
,,11385,17.29,regular
,,11385,17.59,diesel
,,11385,18.15,premium
,,11384,18.89,regular
,,,19.45,premium
,,,19.29,diesel
,,11383,18.29,regular
,,,18.59,premium
,,,18.69,diesel
,,11382,18.6,regular
,,,19.4,premium
,,11381,17.59,regular
,,,17.69,premium
,,11380,18.59,regular
,,,18.79,diesel
,,2848,18.99,premium
,,2848,17.89,diesel
,,2848,17.99,regular
,,11379,19.92,regular
,,,21.56,premium
,,,20.86,diesel
,,11378,18.39,regular
,,,19.89,premium
,,11378,19.19,diesel
,,11376,18.87,regular
,,,19.35,premium
,,,19.13,diesel
,,11377,18.99,regular
,,,18.99,diesel
,,11375,19.84,regular
,,,20.08,premium
,,,20.32,diesel
,,11374,20.59,regular
,,,20.89,premium
,,,20.93,diesel
,,11373,19.82,regular
,,,20.07,premium
,,,20.33,diesel
,,11372,18.87,regular
,,,19.35,premium
,,,19.13,diesel
,,11371,19.84,regular
,,,20.08,premium
,,,20.34,diesel
,,11370,19.41,regular
,,11370,20.07,diesel
,,2789,18.69,regular
,,,19.99,premium
,,,19.35,diesel
,,11368,20.9,regular
,,11368,21.5,diesel
,,11367,18.87,regular
,,,19.35,premium
,,,19.13,diesel
,,11366,20.1,regular
,,,20.31,premium
,,,20.96,diesel
,,11365,18.55,regular
,,,18.95,premium
,,,19,diesel
,,11364,19.59,regular
,,,19.78,premium
,,,20.34,diesel
,,11362,20.1,regular
,,,20.31,premium
,,,20.96,diesel
,,11361,19.81,regular
,,,20.09,premium
,,,20.33,diesel
,,11360,19.8,premium
,,11360,19.2,regular
,,,19.9,diesel
,,3088,18.85,regular
,,,19.05,premium
,,,19.38,diesel
,,11359,18.89,regular
,,,19.15,premium
,,,20.29,diesel
,,11358,20.1,regular
,,,20.31,premium
,,,20.96,diesel
,,11357,18.89,regular
,,,19.15,premium
,,,20.35,diesel
,,11356,17.99,regular
,,11356,18.15,diesel
,,11356,19.99,premium
,,11355,17.55,regular
,,,18.45,premium
,,11354,19.72,regular
,,,19.82,premium
,,,19.82,diesel
,,11353,16.49,regular
,,,16.49,diesel
,,11353,19.7,premium
,,11345,14.88,regular
,,,16.8,premium
,,11345,18.29,diesel
,,11352,12.82,regular
,,,13.59,premium
,,,16.64,diesel
,,11346,19.7,regular
,,,19.85,premium
,,,20.35,diesel
,,3121,19.55,premium
,,3121,19.4,regular
,,11348,19.35,regular
,,,19.55,premium
,,11348,20.13,diesel
,,11351,12.82,regular
,,,13.59,premium
,,,16.64,diesel
,,11350,19.95,diesel
,,11350,20.8,regular
,,11350,21.6,premium
,,11349,20.8,regular
,,11349,21.6,premium
,,11347,18.49,regular
,,,18.89,premium
,,,19.99,diesel
,,11344,20.25,diesel
,,11344,18.65,regular
,,,18.75,premium
,,11342,20.25,diesel
,,11342,18.65,regular
,,,18.75,premium
,,11343,20.35,diesel
,,11343,18.85,regular
,,,18.89,premium
,,11341,14.8,regular
,,,15.99,premium
,,2996,18.79,regular
,,,19.09,premium
,,,19.19,diesel
,,2845,18.49,regular
,,,18.99,premium
,,3134,19.1,regular
,,2868,19.05,regular
,,,19.4,premium
,,,19.05,diesel
,,2977,17.83,regular
,,,18.13,premium
,,,18.5,diesel
,,2860,18.65,regular
,,,18.95,premium
,,,18.5,diesel
,,3027,18.49,regular
,,,18.69,premium
,,,19.44,diesel
,,2982,17.99,regular
,,,18,diesel
,,2982,18.2,premium
,,2826,18.45,regular
,,,18.95,premium
,,2968,17.95,regular
,,,19.15,premium
,,,18.09,diesel
,,3065,20.14,regular
,,,20.29,premium
,,,21.09,diesel
,,3142,19.44,regular
,,,19.89,premium
,,3148,18.09,regular
,,,18.39,premium
,,2948,19.49,regular
,,2948,19.39,diesel
,,2948,19.99,premium
,,14580,18.29,regular
,,,18.49,premium
,,10306,19.29,regular
,,,19.49,premium
,,,19.59,diesel
,,2873,20.34,premium
,,2873,19.71,regular
,,2873,19.89,diesel
,,10769,19.25,regular
,,10769,19.15,diesel
,,10769,19.89,premium
,,10410,19.68,regular
,,,20.14,premium
,,,20.27,diesel
,,10691,18.69,regular
,,,19.69,premium
,,,18.99,diesel
